expected		actual
1		2.50239372253
1		2.40017175674
1		2.52283811569
2		2.62506008148
2		2.67412662506
2		3.05030345917
3		3.25883626938
3		3.23839187622
3		3.67181301117
4		4.15021181107
4		4.62861061096
4		4.1543006897
5		5.04158735275
5		4.93936538696
5		4.59589958191
6		6.44816160202
6		6.46451711655
6		6.89384937286
7		6.63625001907
7		7.04922676086
7		7.06558227539
8		9.02006626129
8		8.98735523224
8		9.00371074677
9		9.55570936203
9		9.15908813477
9		9.14273262024
10		10.5820178986
10		9.68655347824
10		9.65384244919
11		11.853659153
11		11.387526989
11		11.9027256966
12		12.5365018845
12		12.9167675972
12		12.4506354332
13		13.3092999458
13		13.0149006844
13		13.3460998535
14		14.6954298019
14		14.6300077438
14		14.9039626122
15		15.071606636
15		15.4518723488
15		15.8321380615
16		15.9834265709
16		16.4822697639
16		15.9507155418
17		17.8520441055
17		17.6639556885
17		17.6639556885
18		19.1195964813
18		18.5553312302
18		19.0705299377
10		10.4797959328
10		10.5125069618
15		16.2573814392
15		16.1878705025
7		8.52122306824
7		8.52122306824
17		18.1791543961
17		16.2246704102
8		9.08957719803
8		9.10593271255
12		13.6200547218
12		13.1375670433
4		5.04158735275
4		5.45456409454
11		12.2093915939
11		11.8168592453
